Sex_Code,Area_Code,Name,Total,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_99,100over,JP,nonJP
0,40101,門司区,99637,3310,3822,4150,4050,3354,3615,4458,5460,6572,5835,5746,6060,7671,9646,7886,6507,5718,3702,1601,393,81,98968,669
0,40103,若松区,82844,3293,3596,3844,3854,3681,3718,4149,4706,5479,4867,5021,5459,6215,7113,5597,4573,3850,2428,1099,261,41,81854,990
0,40105,戸畑区,59116,2158,2234,2511,2905,3471,3001,3042,3225,3978,3684,3604,3592,4109,4773,3953,3360,2873,1645,722,227,49,58485,631
0,40106,小倉北区,181878,6761,6421,6530,8176,9416,9794,10666,11699,13059,11624,11230,11063,13093,15799,11529,9708,7965,4633,2097,507,108,178639,3239
0,40107,小倉南区,212850,9592,10091,10247,11148,10374,10017,12034,14178,16198,14111,12366,12211,14331,16280,13079,10612,8232,4995,2055,574,125,211719,1131
0,40108,八幡東区,68844,2311,2611,2664,3007,3040,3081,3333,3800,4335,4027,3808,3971,5154,5946,5099,4713,3965,2570,1072,287,50,68218,626
0,40109,八幡西区,256117,10784,11441,11769,12624,11753,11787,14144,15950,18960,16438,15182,15360,17976,20296,16650,13861,10716,6662,2870,764,130,253910,2207
1,40101,門司区,45658,1712,1926,2168,2086,1608,1807,2184,2696,3222,2785,2624,2894,3551,4541,3485,2611,2111,1200,373,64,10,45322,336
1,40103,若松区,39115,1660,1818,1958,1956,1939,1992,2069,2363,2655,2352,2355,2657,3012,3397,2544,1912,1432,762,236,44,2,38559,556
1,40105,戸畑区,28718,1131,1140,1240,1644,2264,1627,1560,1616,2003,1792,1740,1791,2024,2243,1768,1380,1058,515,156,24,2,28393,325
1,40106,小倉北区,85098,3447,3267,3300,4146,4562,5020,5155,5730,6373,5685,5510,5434,6274,7365,5046,3815,2891,1531,457,78,12,83481,1617
1,40107,小倉南区,101121,4888,5211,5334,5777,5068,4875,5977,7021,7965,6761,5953,5908,6837,7538,5825,4622,3282,1668,488,101,22,100600,521
1,40108,八幡東区,32260,1217,1326,1353,1605,1734,1663,1685,1897,2154,1910,1806,1937,2511,2764,2239,1896,1452,819,243,44,5,31943,317
1,40109,八幡西区,120712,5553,5797,5978,6461,5868,5853,7049,7899,9338,7891,7186,7461,8610,9272,7466,5929,3984,2248,713,137,19,119641,1071
2,40101,門司区,53979,1598,1896,1982,1964,1746,1808,2274,2764,3350,3050,3122,3166,4120,5105,4401,3896,3607,2502,1228,329,71,53646,333
2,40103,若松区,43729,1633,1778,1886,1898,1742,1726,2080,2343,2824,2515,2666,2802,3203,3716,3053,2661,2418,1666,863,217,39,43295,434
2,40105,戸畑区,30398,1027,1094,1271,1261,1207,1374,1482,1609,1975,1892,1864,1801,2085,2530,2185,1980,1815,1130,566,203,47,30092,306
2,40106,小倉北区,96780,3314,3154,3230,4030,4854,4774,5511,5969,6686,5939,5720,5629,6819,8434,6483,5893,5074,3102,1640,429,96,95158,1622
2,40107,小倉南区,111729,4704,4880,4913,5371,5306,5142,6057,7157,8233,7350,6413,6303,7494,8742,7254,5990,4950,3327,1567,473,103,111119,610
2,40108,八幡東区,36584,1094,1285,1311,1402,1306,1418,1648,1903,2181,2117,2002,2034,2643,3182,2860,2817,2513,1751,829,243,45,36275,309
2,40109,八幡西区,135405,5231,5644,5791,6163,5885,5934,7095,8051,9622,8547,7996,7899,9366,11024,9184,7932,6732,4414,2157,627,111,134269,1136
